Q,b = 0.100,b = 0.150,b = 0.170,b = 0.187,b = 0.200,b = 0.220,b = 0.234
0.005,1.0324,0.42701,0.27039,0.16271,0.090278,0.0017523,0
0.0051,1.0361,0.42827,0.2723,0.16521,0.092794,0.0046386,0
0.0052,1.0397,0.42949,0.27412,0.16759,0.095229,0.0074157,0
0.0053,1.0431,0.4307,0.27586,0.16985,0.09759,0.010092,0
0.0054,1.0464,0.43189,0.27752,0.172,0.099881,0.012676,0
0.0055,1.0495,0.43305,0.2791,0.17406,0.10211,0.015175,0
0.0056,1.0525,0.4342,0.28063,0.17603,0.10427,0.017593,0
0.0057,1.0554,0.43532,0.2821,0.17792,0.10638,0.019938,0
0.0058,1.0582,0.43643,0.28351,0.17974,0.10844,0.022214,0
0.0059,1.0609,0.43752,0.28487,0.18149,0.11044,0.024425,0
0.006,1.0635,0.4386,0.28619,0.18317,0.1124,0.026576,0
0.0061,1.066,0.43966,0.28746,0.1848,0.11431,0.02867,0
0.0062,1.0685,0.4407,0.2887,0.18637,0.11618,0.030711,0
0.0063,1.0708,0.44173,0.2899,0.18789,0.11801,0.032702,0
0.0064,1.0731,0.44274,0.29106,0.18937,0.11979,0.034646,0
0.0065,1.0753,0.44374,0.29219,0.1908,0.12154,0.036545,0
0.0066,1.0774,0.44472,0.2933,0.19219,0.12326,0.038401,0
0.0067,1.0795,0.44569,0.29437,0.19355,0.12494,0.040218,0
0.0068,1.0815,0.44664,0.29542,0.19486,0.12659,0.041996,0
0.0069,1.0835,0.44759,0.29645,0.19615,0.12821,0.043738,0
0.007,1.0854,0.44852,0.29745,0.1974,0.1298,0.045445,0
0.0071,1.0873,0.44943,0.29843,0.19862,0.13135,0.047119,0
0.0072,1.0891,0.45034,0.29939,0.19981,0.13289,0.048761,0
0.0073,1.0909,0.45123,0.30032,0.20098,0.13439,0.050373,0
0.0074,1.0926,0.45211,0.30125,0.20212,0.13587,0.051956,0
0.0075,1.0943,0.45298,0.30215,0.20324,0.13732,0.053511,0.0012163
0.0076,1.096,0.45383,0.30303,0.20433,0.13875,0.055039,0.0026807
0.0077,1.0976,0.45468,0.3039,0.2054,0.14016,0.056542,0.0041198
0.0078,1.0991,0.45551,0.30476,0.20646,0.14154,0.05802,0.0055348
0.0079,1.1007,0.45634,0.3056,0.20749,0.1429,0.059473,0.0069267
0.008,1.1022,0.45715,0.30642,0.2085,0.14425,0.060904,0.0082964
0.0081,1.1037,0.45795,0.30724,0.2095,0.14557,0.062312,0.0096447
0.0082,1.1051,0.45875,0.30804,0.21048,0.14687,0.063699,0.010973
0.0083,1.1065,0.45953,0.30882,0.21144,0.14815,0.065065,0.012281
0.0084,1.1079,0.4603,0.3096,0.21238,0.14941,0.066411,0.01357
0.0085,1.1093,0.46107,0.31036,0.21332,0.15065,0.067737,0.014841
0.0086,1.1106,0.46182,0.31112,0.21423,0.15188,0.069045,0.016094
0.0087,1.1119,0.46256,0.31186,0.21513,0.15309,0.070334,0.01733
0.0088,1.1132,0.4633,0.31259,0.21602,0.15428,0.071604,0.018549
0.0089,1.1145,0.46402,0.31332,0.2169,0.15545,0.072858,0.019753
0.009,1.1157,0.46474,0.31403,0.21776,0.15661,0.074095,0.02094
0.0091,1.1169,0.46545,0.31473,0.21861,0.15776,0.075315,0.022113
0.0092,1.1181,0.46615,0.31543,0.21945,0.15888,0.076519,0.023271
0.0093,1.1193,0.46684,0.31612,0.22028,0.16,0.077708,0.024415
0.0094,1.1205,0.46753,0.31679,0.2211,0.16109,0.078881,0.025545
0.0095,1.1216,0.4682,0.31746,0.2219,0.16218,0.08004,0.026662
0.0096,1.1227,0.46887,0.31813,0.2227,0.16325,0.081184,0.027766
0.0097,1.1239,0.46953,0.31878,0.22348,0.1643,0.082313,0.028857
0.0098,1.1249,0.47018,0.31943,0.22426,0.16535,0.083429,0.029935
0.0099,1.126,0.47082,0.32007,0.22503,0.16638,0.084532,0.031001
0.01,1.1271,0.47146,0.3207,0.22578,0.16739,0.085621,0.032056
